Aaberg	'o:-%b{rg
Aaby	"o:-%by:
Aadnesen	"Od-n@-sn=
Aaengveien	"o:-@N-%v{*I-@n
Aae	'o:
Aagoth	'o:-gOt
a-aksjene	'A:-%Ak-Sn=-@
a-aksjer	'A:-%Ak-S@r
Aalesunds	"o:-l@-%su0ns
Aalholm	"o:l-%hOlm
Aalmo	"o:l-%mu:
Aanes	'o:-%ne:s
Aano	"o:-nU
Aarak	"o:-rAk
Aarland	"o:-%l`An
Aarsæther	"o:-%s`e:t-@r
Aarskog	'o:-%s`ku:g
Aarstad	"o:-%s`t`A:
Aarum	"o:-ru0m
Aasen-året	'o:-sn=-%o:-r@
Aaserød	"o:-s@-%r2:d
Aasland	"o:-%slAn
Aasne	"o:-sn@
Aasprong	"o:-sprUN
Aastvedt	"o:s-%tvEt
Aastveit	"o:s-%tv{*It
Aasvang	"o:-%svAN
abandoner	A-bAn-dU-'ne:r
abandonert	A-bAn-dU-'ne:t`
Abba	"A-bA
abbedens	"A-b@-dn=s
abbediet	A-b@-'di:-@
abbediets	A-b@-'di:-@ts
abbor	"A-bOr
abborene	"A-bO-n`=-@
abbors	"A-bOs`
abbreviasjons	A-br@-vI-A-'Su:ns
abbreviaturene	A-br@-vI-A-'t}:-n`=-@
abbreviaturers	A-br@-vI-A-'t}:-r@s`
abbreviaturs	A-br@-vI-A-'t}:s`
abbrevier	A-br@-vI-'e:r
abbreviere	A-br@-vI-'e:-r@
abbrevierendes	A-br@-vI-'e:-n`=-@s
abbrevierer	A-br@-vI-'e:-r@r
abc-boka	%A:-b@-'se:-%bu:-kA
abc-bokens	%A:-b@-'se:-%bu:-k@ns
abc-krigføringen	%A:-b@-'se:-kri:g-%f2:-rIN-@n
abc-våpena	%A:-b@-'se:-%vo:-p@-nA
abc-våpens	%A:-b@-'se:-%vo:-p@ns
abdikasjonens	Ab-dI-kA-'Su:-nn=s
abdisering	Ab-dI-'se:-rIN
abdisertes	Ab-dI-'se:-t`@s
abdomena	Ab-'du:-m@-nA
abdomen	Ab-'du:-m@n
abdominalts	Ab-dO-mI-'nA:lts
aberet	'A:-b@-r@
Aberlady	'E-b@r-%l{*I-dI
abernes	'A:-b@-n`@s
aberrasjonen	A-b@-rA-'Su:-nn=
abers	'A:-b@s`
abessinier	A-b@-'si:-nI-@r
abessiniers	A-b@-'si:-nI-@s`
abessinsk	A-b@-'si:nsk
Abildsøveien	"A:-bIl-s2:-%v{*I-@n
åbiten	"o:-%bi:-tn=
ab-kjøpets	"A:-b@-%C2:-p@ts
ab-kontrakten	"A:-b@-kOn-%trAk-tn=
ablegøyers	A-bl@-"g9*Y-@s`
abnormes	Ab-'nOr-m@s
abnormitetene	Ab-nOr-mI-'te:-tn=-@
abnormitets	Ab-nOr-mI-'te:ts
